GENE,fA,fC,fG,fT,rAC,rAG,rAT,rCG,rCT,rGT,ALPH,NDAP,SAME_SEQ1,SAME_SEQ2,SEED,SECS
0082,"19_0_0,11_0_0","22_0_0,9_0_0",21,121004231,0.331,0.258,0.168,0.243,0,0.367638,3.962230,5.603966,1.885713,7.667228,9.685219,1.000000,1.059455
0083,"5_0_0,2_1_0,2_1_0,7_2_0,11_0_0,14_0_0","5_5_0,1_0_0,1_1_0,7_0_0,9_0_0,18_0_0",20,536725897,0.481,0.217,0.093,0.208,0,0.321142,0.823666,4.778734,1.245676,6.614115,7.346019,1.000000,2.778633
0084,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",20,814580705,0.381,0.200,0.163,0.257,0,0.440755,3.474455,10.519124,2.741047,0.604184,15.351997,1.000000,1.828817
0085,"4_1_0,4_1_0,1_0_0,11_0_0","4_0_0,7_1_0,2_0_0,9_0_0",20,596706866,0.250,0.179,0.240,0.330,0,0.461691,3.300554,3.802671,0.155225,1.075678,3.226357,1.000000,1.227672
0086,"18_0_0,11_0_0","14_0_0,9_0_0",21,822240356,0.229,0.205,0.141,0.426,0,0.443680,3358.940014,5209.663471,2815.888463,7286.159227,5094.013174,1.000000,2.883812
0087,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",23,530576014,0.387,0.134,0.323,0.155,0,0.520185,14.781843,29.731746,24.877655,11.850793,82.924984,1.000000,2.180440
0088,"NA","NA",18,943667585,0.227,0.169,0.307,0.298,0,0.661844,1.477668,0.829329,0.594099,0.000100,1.813292,1.000000,0.142652
0089,"18_0_0,11_0_0,4_0_0","14_0_0,9_0_0,7_0_0",23,337018536,0.323,0.175,0.170,0.332,0,0.751486,5.943507,2.772673,0.161943,0.986652,9.125364,1.000000,1.972604
0090,"12_1_0,23_0_0,18_0_0,1_0_0,11_0_0","7_0_0,17_0_0,14_0_0,2_0_0,9_0_0",23,606486664,0.297,0.188,0.188,0.327,0,3.927701,1276.702437,2805.758028,520.156033,1068.407729,4311.838340,1.000000,0.982436
0091,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",21,371428246,0.216,0.258,0.219,0.307,0,0.300680,5812.301648,2414.582007,1455.573645,3133.207195,4170.236031,1.000000,2.819847
